source,unit,value,count,ratio
tokenized_pedal3,tokens,91,12827,0.0042919560706066425
tokenized_pedal3,tokens,92,11935,0.003993489958890643
tokenized_pedal3,tokens,93,11712,0.003918873430961643
tokenized_pedal3,tokens,94,11699,0.00391452358852632
tokenized_pedal3,tokens,95,11567,0.00387035595764458
tokenized_pedal3,tokens,96,11405,0.0038161502288351725
tokenized_pedal3,tokens,97,9726,0.003254351348150012
tokenized_pedal3,tokens,98,10431,0.0034902466494502135
tokenized_pedal3,tokens,99,9396,0.0031439322709456625
tokenized_pedal3,tokens,100,9506,0.003180738630013779
tokenized_pedal3,tokens,101,8973,0.0030023950901655414
tokenized_pedal3,tokens,102,8639,0.0028906375999041695
tokenized_pedal3,tokens,103,8404,0.0028120058328041024
tokenized_pedal3,tokens,104,8429,0.0028203709144104926
tokenized_pedal3,tokens,105,7976,0.002668795635702704
